sim:nr PA area distance majoraxis n60 n70 n80 n90 probability
 164  35  114.60 345.08   29.98  14   3   4   6   8  0.90
 470  28  115.80 180.34   32.20   4   9  12  17  23  0.91
  45  85  117.12 153.35   63.27  12   9  12  14  17  0.91
 393   4  117.28 209.82   24.89   1   2   3   5  13  0.91
 170   5  117.71 479.51   24.12   7   4   5   6   8  0.92
  97  24  118.29 426.08   42.77   1   4   5   8  11  0.93
 141  62  118.32 197.92   12.70   7   3   4   6  14  0.91
  44  11  121.28 456.76   33.20   4   3   3   6  16  0.92
 336  11  121.32 175.61   20.26   7   3   6   8  12  0.92
 308   1  123.84 426.99   30.26   2   4   6   8   9  0.90
 549  74  124.05 601.06    6.49   4   1   2   3   9  0.90
 127  17  125.32 451.80   38.04  18   5   5   7  13  0.93
 169  67  126.33 123.07   46.32   3   9  11  15  22  0.91
 142  30  126.50 309.84   16.17   3  11  14  20  22  0.91
 552  34  129.04 267.68   12.43   1   3   4   7  12  0.91
 443  85  129.51 468.94   20.54   3   4   9  10  18  0.92
 230   1  129.54 790.76    5.41  11   1   2   3  19  0.91
 311   6  129.79 237.27   44.74   2   6   9  10  13  0.91
 171   2  132.46 420.90    7.05   4   2   4   7  12  0.90
 211  60  133.00 225.11   48.77   3   8  11  14  18  0.90
 494  48  133.25 508.95   28.61  26   4   6   7  10  0.92
 505  31  133.65 476.82   21.48   2   4   4   6  14  0.94
 452  58  135.07 269.74   31.26   4   3   4   6  13  0.90
 553  84  136.24 265.06    6.33   9   1   2   6  13  0.92
 573   4  137.94 219.42   25.53   4   5   6   7   9  0.90
 270  74  138.86 337.61   41.78   7   8  11  12  15  0.90
 536  28  139.31 136.93   11.76  24   8   8  10  19  0.94
 508  79  143.12 576.16   32.61   4   6   6   8  11  0.92
  80  53  147.61 326.82   41.64  15   8   9  12  16  0.90
 502   7  148.82 258.48   21.19   3   3   5   6  16  0.90
 163  79  149.27 265.12   27.25  17   2   2   6  16  0.91
  42  69  149.66 370.03   61.38   9  14  17  21  27  0.91
 356  38  149.77 139.40   61.94  56  11  13  19  25  0.91
 107  44  151.00 486.80   38.95   4   3   5   9  11  0.90
  92  83  152.71 182.82   15.07   2   3   4   5  13  0.92
 317   0  154.18 400.55   87.12  23  14  18  23  30  0.92
 184  61  154.70 184.84   38.56  12   5   8  12  16  0.91
 405  11  154.85 376.75   47.68   8   7  10  13  17  0.92
 213   8  155.27 342.67   39.99  11  10  12  19  28  0.90
 122  47  155.44 501.39   28.17  25   3   4   7  12  0.91
  51  76  156.03 171.10    8.22   2   3   5   8  17  0.91
 530  81  158.39 437.19   19.70  20   3   3   5  15  0.90
 507  31  159.30 167.16   54.40  10   4   6  10  22  0.91
  94  24  160.41 298.79   45.90  26   4   5   9  12  0.90
 300  44  160.58 151.73    9.23   3   3   4   8  11  0.91
 391  36  161.14 616.27   18.03  17   2   3   5  13  0.90
 337  24  161.83 319.36   51.06 141  11  14  18  22  0.92
 239  72  165.00 520.53   37.23   6   4   6  12  15  0.92
 497  20  165.11 781.62   10.44   8   2   3   5  16  0.90
 576  16  165.97 448.10   35.05   2   6   8   9  11  0.90
 544  39  166.78 487.18    7.30   7   2   3   4  15  0.91
  75  39  168.55 400.36   20.86  10   2   2   4  21  0.91
 527  42  168.62 175.89   37.76  23   8   9  14  16  0.91
 562   5  170.41 522.21   33.25  19   4   5   9  11  0.91
   0  54  170.95 326.52   24.08   4   4  10  10  13  0.91
 575  49  172.12 200.86   46.17  35   9  10  13  17  0.91
  49  36  175.44 391.24   24.79   2   4   8   9  14  0.92
 196  50  175.58 229.15   40.15  39   9  11  15  20  0.91
 322  52  177.67 770.07   34.05   4   3   4   6  17  0.90
 515  14  181.08 193.92   54.90  25  15  17  25  30  0.88
 456  58  181.44 259.77   13.82   3   3   4   7  13  0.91
 389  37  183.03 496.88   37.21  12   5   6   8  14  0.91
 509  59  185.51 497.32   44.48   8   7   8  10  13  0.90
 403  53  186.33 327.36   25.83   5   4   7   8  14  0.90
 534  78  186.33 247.50   29.12  18   5   6   8  19  0.90
 223  55  187.86 302.25   15.41   5   4   6   8  30  0.90
 262  68  191.14 436.91   44.05   6  12  16  19  26  0.90
  59   4  192.25 350.13   12.21   3  11  12  18  24  0.91
 506  80  196.73 797.24    6.60   5   1   3   5  25  0.91
 468  10  197.45 343.18   43.86  11   9  11  13  21  0.92
 500  55  199.30 600.84   34.81   9   2   5   9  15  0.90
 571  17  201.72  84.54   41.10  61   8  10  13  18  0.91
 279  33  201.88 309.34   57.34  21  12  15  18  26  0.91
 475  24  204.07 181.77   30.33   5   6   8  14  18  0.92
 360  30  205.71 609.43   25.41   9   3   4  12  22  0.90
  40  52  208.01 493.83   20.18   9   2   3   8  17  0.91
 261  35  211.47 160.74   12.99   2   4   7   9  15  0.90
  61  67  216.62 335.66   18.70   2   3   5   9  24  0.91
 319  83  221.07 335.42   31.75   5   5   8  12  16  0.90
 328  57  223.81 137.68  100.06   9  12  16  20  30  0.91
 370  59  225.89 342.77   44.74   8   5  10  13  20  0.91
  27  82  228.89 260.07   17.44   2   6   8  11  20  0.90
 310  52  230.86 496.63   34.95  13   6   7   9  15  0.90
 437  48  231.62 433.46   41.94  20   4   5   9  19  0.90
  77  11  234.99 244.44   61.99   7   9  10  15  21  0.91
 411  31  235.17 183.65   13.75  52  21  26  30  30  0.78
 191  78  236.57 418.52   67.20  14   3   6  11  19  0.91
  74  15  238.00 298.24   26.40   4   6   7  10  18  0.91
